loadstep,alpha,gamma,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,mean_F_rmse
30,1e-10,30.0,0.5,0.0005849771308757944,0.037618711353783606,0.0656638755760331,0.13375580114519803,0.31023973183385906,0.1868817914078525,0.038290632406977436
40,1e-10,30.0,0.5,0.0006149804992657365,0.039400172644438784,0.07784605449683218,0.19888757358710515,0.38277817511766093,0.25812944759496154,0.038290632406977436
10,1e-10,30.0,0.75,0.0004647943304250354,0.024155350738610866,0.038482184424032374,0.07414120598077482,0.16226039932483058,0.08870260842065346,0.02461727035683583
20,1e-10,30.0,0.75,0.00043644035567187516,0.022833030086720458,0.03789603388129764,0.07455010154212877,0.17061741431520658,0.0980033459677774,0.02461727035683583
30,1e-10,30.0,0.75,0.00043862138792411795,0.023098199739705977,0.041079208940267065,0.08929963499336976,0.1937707542969518,0.11819465263680803,0.02461727035683583
40,1e-10,30.0,0.75,0.0005116702219954396,0.028382500862306002,0.057135499712792075,0.22942424954207294,0.3297485924362617,0.2150830759992618,0.02461727035683583
10,1e-10,30.0,1.0,0.000422380474882282,0.017985894852434087,0.03131367464568865,0.05668344025112867,0.12871942579467277,0.07299268344336288,0.01918495446578096
20,1e-10,30.0,1.0,0.0003805611033824189,0.015540307055923238,0.02775920715288406,0.05244342323441882,0.12241980685467249,0.07269110912740562,0.01918495446578096
30,1e-10,30.0,1.0,0.0003836297565707465,0.016057464783357237,0.03009236570875833,0.07505846856256285,0.1432296413021261,0.08876628107456382,0.01918495446578096
40,1e-10,30.0,1.0,0.0005163428039426687,0.027156151171409283,0.05287749980885787,0.2911389364399658,0.3749896849251586,0.2245827712953231,0.01918495446578096
10,1e-10,100.0,0.25,0.0008450028633111469,0.05783989642343318,0.08874369872200726,0.17805003281729792,0.3824359153190472,0.2051610645097336,0.05760950412165689
20,1e-10,100.0,0.25,0.0008387685960771925,0.057784850258627105,0.09344016817770463,0.18648808598078762,0.42567010116934884,0.24203792954526834,0.05760950412165689
30,1e-10,100.0,0.25,0.0008304014881153305,0.057057156613560714,0.09968270304857879,0.19939551635623146,0.472640594279352,0.2846900725196196,0.05760950412165689
40,1e-10,100.0,0.25,0.0008427712104533599,0.05775611319100657,0.111811320692931,0.22522440428896565,0.5360249162985694,0.3503300787386448,0.05760950412165689
10,1e-10,100.0,0.5,0.0007230702274833681,0.045627090641287955,0.07041195864713307,0.1408887895392807,0.3025589821878833,0.1621897944024573,0.04560976913862111
20,1e-10,100.0,0.5,0.0007155742155950631,0.045597906826903546,0.07394186545933004,0.14722656081325586,0.33594806974078245,0.19110536601882835,0.04560976913862111
30,1e-10,100.0,0.5,0.0007070423043251113,0.04488225725886222,0.07931232933084723,0.15817104823176276,0.37453534613093853,0.22739797659411515,0.04560976913862111
40,1e-10,100.0,0.5,0.0007293972464439956,0.046331821827430744,0.09136002900843661,0.2102634247967481,0.4484614737594664,0.2907618738695496,0.04560976913862111
10,1e-10,100.0,0.75,0.0006396704189016068,0.03651363782560093,0.05710539070170219,0.11382032062074945,0.24453058877743955,0.1311404189576191,0.03695312713459717
20,1e-10,100.0,0.75,0.0006325963714632444,0.03670061248103552,0.06011007206156455,0.11939417699995868,0.27234496250363105,0.15515626839475824,0.03695312713459717
30,1e-10,100.0,0.75,0.0006217890499465511,0.03567926886972395,0.06466407677773636,0.12847810130899376,0.3036699175195266,0.18705540386419864,0.03695312713459717
40,1e-10,100.0,0.75,0.0006632160444766276,0.03891898936202827,0.07866924316193567,0.2266287298065919,0.41262437334193575,0.2573682760932217,0.03695312713459717
10,1e-10,100.0,1.0,0.0006107969481249552,0.033161674548882775,0.05271785075289428,0.10460765864131555,0.2249645712674888,0.12080407210795252,0.034255245854628066
20,1e-10,100.0,1.0,0.0006065705987411723,0.03379920809540432,0.056252825367633694,0.1116775062419641,0.2546184454550396,0.14521684008904215,0.034255245854628066
30,1e-10,100.0,1.0,0.0005913586382630851,0.032113840506960346,0.06003554485966384,0.11903054540884259,0.28070204915343355,0.1751673242104567,0.034255245854628066
40,1e-10,100.0,1.0,0.000658611303245279,0.03794626026726483,0.07759312508407064,0.268462039936978,0.44129082229296296,0.2605876226604591,0.034255245854628066
10,1e-08,0.1,0.25,0.0008823015391163705,0.05389538819920585,0.08229220353030303,0.16527664662626265,0.3550679526471204,0.19043066483855134,0.06017492319591543
20,1e-08,0.1,0.25,0.0016612393337072575,0.05563890223315259,0.08849637424464428,0.17945400646049092,0.4059603273390957,0.23037289875132386,0.06017492319591543
30,1e-08,0.1,0.25,0.0031005650282011146,0.06091119771970536,0.10221712076959011,0.2299668844791733,0.5007490310720641,0.30554457866646234,0.06017492319591543
40,1e-08,0.1,0.25,0.004641717122091184,0.07025420463159793,0.12834882522051422,0.34558269672030156,0.6725845322018299,0.4704231449253986,0.06017492319591543
10,1e-08,0.1,0.5,0.0010992720351431816,0.037181119820959216,0.05580334731344406,0.11219511981289726,0.24065460616220163,0.12889396758937213,0.06287979397280158
