method,loadstep,alpha,gamma,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,J_min,J_nonpositive_count,mean_F_rmse
krr,30,1e-10,30.0,0.5,1.571950226484782e-05,0.0020069169679379564,0.002772421438417802,0.006262258245129513,0.012214327133471136,0.005970158078953328,0.9521671578483838,0,0.0022193502009327432
krr,40,1e-10,30.0,0.5,1.996951431491428e-05,0.0024541742400201166,0.0033727745396463006,0.00794866355516406,0.015343276030023735,0.007443126685527728,0.9431406992958596,0,0.0022193502009327432
krr,50,1e-10,30.0,0.5,2.4144182558264138e-05,0.0028718850860634925,0.0039384801499561944,0.009737529421354809,0.01853468404072142,0.00889588344556804,0.9328914843737137,0,0.0022193502009327432
krr,60,1e-10,30.0,0.5,2.918960935872901e-05,0.0033789045168402575,0.004574199392230095,0.012249309987708342,0.0227549271168765,0.010664969881275273,0.9219829720080401,0,0.0022193502009327432
krr,10,1e-10,30.0,0.75,1.1544948453654578e-05,0.0015696441347233185,0.002174124834871661,0.004552307996302898,0.009025173778105171,0.004474237418109193,0.9753427020608362,0,0.0033290253013991133
krr,20,1e-10,30.0,0.75,1.7455983462145296e-05,0.0023366864573786846,0.003256072282944719,0.007066113067519571,0.013924609744114655,0.006866886017406734,0.9655947268765768,0,0.0033290253013991133
krr,30,1e-10,30.0,0.75,2.357925339727174e-05,0.003010375451906894,0.0041586123250520884,0.00936890065489352,0.018282076781162206,0.00893970184623987,0.9554695950274632,0,0.0033290253013991133
krr,40,1e-10,30.0,0.75,2.995427147237155e-05,0.0036812613600302195,0.005058813987694288,0.01188794304831528,0.022958816703165814,0.011142346793695742,0.945794755430357,0,0.0033290253013991133
krr,50,1e-10,30.0,0.75,3.621627383739631e-05,0.004307827629095223,0.0059080660904385785,0.014567658319131283,0.027745534831321774,0.013323901858150765,0.9357437762248518,0,0.0033290253013991133
krr,60,1e-10,30.0,0.75,4.378441403809337e-05,0.005068356775260341,0.006862720564897587,0.018303169483894075,0.03403768485349368,0.015969109991103656,0.9258159630230655,0,0.0033290253013991133
krr,10,1e-10,30.0,1.0,1.539326460487273e-05,0.0020928588462977515,0.0028991512529157573,0.006056813581807742,0.012013471594863951,0.005958263477636904,0.97782603343712,0,0.0044387004018654926
krr,20,1e-10,30.0,1.0,2.3274644616193714e-05,0.0031155819431715618,0.0043414515104276095,0.0093983332811935,0.018527925710398293,0.009140391548127196,0.965708742073352,0,0.0044387004018654926
krr,30,1e-10,30.0,1.0,3.143900452969569e-05,0.004013833935875902,0.005544795896849281,0.012460148394653309,0.02432480607106244,0.011899339136983066,0.9550433071316246,0,0.0044387004018654926
krr,40,1e-10,30.0,1.0,3.9939028629828554e-05,0.004908348480040259,0.006744635082247006,0.01580518621078853,0.030538737398380908,0.014827321376209596,0.9454878509798303,0,0.0044387004018654926
krr,50,1e-10,30.0,1.0,4.828836511652827e-05,0.005743770172126998,0.007877902429949549,0.019373649286976716,0.03692074502840463,0.017739316907345516,0.9352739838462099,0,0.0044387004018654926
krr,60,1e-10,30.0,1.0,5.837921871745804e-05,0.006757809033680484,0.009152225065357303,0.02431255766855989,0.045260256692383885,0.021255121498667956,0.9263613394230963,0,0.0044387004018654926
krr,10,1e-10,100.0,0.25,2.611993553464731e-06,0.0004688218128466447,0.0006460263216634798,0.0013529123695026823,0.0026809020307872362,0.0013284908384849441,0.9688957282257146,0,0.0009764982613060703
krr,20,1e-10,100.0,0.25,3.92316320384115e-06,0.0006960202826616696,0.0009655512149716353,0.0021040666524163943,0.004132003178575557,0.00203052877382444,0.954303286239508,0,0.0009764982613060703
krr,30,1e-10,100.0,0.25,5.134791764987942e-06,0.0008839103228540343,0.0012280854644781587,0.0027773787355216636,0.0053982390926259755,0.002629366333039769,0.9488033794334407,0,0.0009764982613060703
krr,40,1e-10,100.0,0.25,6.417287347947067e-06,0.0010698822353462896,0.001477880925963874,0.0034968471322378786,0.006712795528324189,0.0032371865258317505,0.9417214571312263,0,0.0009764982613060703
krr,50,1e-10,100.0,0.25,7.749023176377643e-06,0.0012543983019603832,0.0017380608592666154,0.004317623799559273,0.008180923853567964,0.0039052576206317613,0.9314938530056059,0,0.0009764982613060703
krr,60,1e-10,100.0,0.25,9.401184094225827e-06,0.0014859566121674002,0.0020119335372604913,0.005407068721546194,0.009997925225550593,0.0046673014526361686,0.9198796732122011,0,0.0009764982613060703
krr,10,1e-10,100.0,0.5,5.223987106929493e-06,0.0009376436256932978,0.0012921303402242664,0.002701596260697307,0.005355701364934821,0.0026549445823875677,0.9717934010594528,0,0.0019529965226121472
krr,20,1e-10,100.0,0.5,7.84632640768225e-06,0.0013920405653233695,0.0019313143711358438,0.004200454248802044,0.008253616660225617,0.004057997523364837,0.9591562113621757,0,0.0019529965226121472
krr,30,1e-10,100.0,0.5,1.0269583529975817e-05,0.001767820645708027,0.002456546864577689,0.005544056634999767,0.01078329244713243,0.0052555607405518285,0.9535663359131261,0,0.0019529965226121472
krr,40,1e-10,100.0,0.5,1.2834574695894063e-05,0.002139764470692597,0.002956157732147607,0.0069770260135586775,0.013406379473412073,0.00647038587613091,0.9456431614167244,0,0.0019529965226121472
krr,50,1e-10,100.0,0.5,1.5498046352755513e-05,0.0025087966039208176,0.003476608193653347,0.008616498910980664,0.01634056277518573,0.007806099852155218,0.9358508811034445,0,0.0019529965226121472
krr,60,1e-10,100.0,0.5,1.880236818845147e-05,0.0029719132243347726,0.004024585690390896,0.010773225657123029,0.01995270246590186,0.009327120842103843,0.9255110498842315,0,0.0019529965226121472
krr,10,1e-10,100.0,0.75,7.835980660394273e-06,0.001406465438539952,0.001938312537799805,0.00404634074883644,0.008024686916147156,0.0039794175360461795,0.9746928163950471,0,0.002929494783918207
krr,20,1e-10,100.0,0.75,1.1769489611523352e-05,0.002088060847985037,0.0028972905703005154,0.006289773088829813,0.012365406878595138,0.006082496970907032,0.9640202143562723,0,0.002929494783918207
krr,30,1e-10,100.0,0.75,1.540437529496371e-05,0.0026517309685620163,0.0036853871494486328,0.008300920368751215,0.016155944284975535,0.007878698639347606,0.952444857555753,0,0.002929494783918207
krr,40,1e-10,100.0,0.75,1.9251862043841037e-05,0.003209646706038891,0.004434835173901724,0.01044194135321139,0.020081921286436603,0.00969975327913533,0.9446687545145551,0,0.002929494783918207
krr,50,1e-10,100.0,0.75,2.3247069529133325e-05,0.003763194905881205,0.00521565257576606,0.012898360196214542,0.024480385633599746,0.011702760802243521,0.9378728168279975,0,0.002929494783918207
krr,60,1e-10,100.0,0.75,2.8203552282677237e-05,0.00445786983650214,0.006037982136081466,0.016101618042311493,0.029866723776048335,0.01397979527572762,0.9311407624647248,0,0.002929494783918207
krr,10,1e-10,100.0,1.0,1.0447974213859002e-05,0.0018752872513866006,0.0025845733963910625,0.005387436641557066,0.010688149278672301,0.005301966370413485,0.9751057633533703,0,0.0039059930452242896
krr,20,1e-10,100.0,1.0,1.56926528153645e-05,0.0027840811306467177,0.0038634809137885347,0.00837263771285909,0.016467944534320437,0.008104118812485286,0.9634555562601422,0,0.0039059930452242896
krr,30,1e-10,100.0,1.0,2.0539167059951645e-05,0.00353564129141607,0.004914609266426882,0.011048863097529846,0.021516985558738752,0.010498896904710673,0.9510098440814433,0,0.0039059930452242896
krr,40,1e-10,100.0,1.0,2.566914939178814e-05,0.004279528941385176,0.005913918004009809,0.013893010585453634,0.026740601128245407,0.012925445399097272,0.9428299630181799,0,0.0039059930452242896
krr,50,1e-10,100.0,1.0,3.0996092705511e-05,0.005017593207841603,0.006955204572209413,0.017164956741496002,0.03260187569685077,0.015595475965804087,0.9353409142609022,0,0.0039059930452242896
krr,60,1e-10,100.0,1.0,3.760473637690302e-05,0.0059438264486695695,0.008052148532253707,0.02139543878813429,0.03974241711742716,0.01862565793986848,0.9286997135529563,0,0.0039059930452242896
krr,10,1e-08,0.1,0.25,0.0001184039328686681,0.0019614846873591478,0.002569512469615677,0.005210860329381814,0.010398624070499534,0.005190646752175731,0.9795296922605063,0,0.006483887046274939
krr,20,1e-08,0.1,0.25,0.00024162491374515638,0.003791513213025948,0.004952801427673306,0.010187039635100967,0.020267242297472628,0.010105185391942465,0.9715758947715629,0,0.006483887046274939
krr,30,1e-08,0.1,0.25,0.0003669519575256946,0.005604583447279964,0.007350994780485322,0.015402729883809058,0.030469872173135504,0.015154534947714557,0.9587849296744484,0,0.006483887046274939
krr,40,1e-08,0.1,0.25,0.0004954490981310608,0.007405798341303282,0.009785168221603226,0.021047292496637872,0.04123613567603354,0.020402926951974425,0.9524654081285758,0,0.006483887046274939
krr,50,1e-08,0.1,0.25,0.0006260560487559968,0.009190736099976558,0.012251571748005756,0.027181015598671077,0.052605094063187106,0.025856555312888652,0.941408785359656,0,0.006483887046274939
krr,60,1e-08,0.1,0.25,0.000756569141397931,0.010949206488704738,0.014744149942144295,0.03390796793559407,0.064700323625059,0.031558829789503494,0.9267891820540529,0,0.006483887046274939
krr,10,1e-08,0.1,0.5,0.00023680786573733621,0.003922969374718293,0.005139248577060686,0.0104559775614547,0.020860183149630503,0.010409169229133135,0.9859037447254275,0,0.012967774092549884
krr,20,1e-08,0.1,0.5,0.00048324982749031286,0.007583026426051914,0.009901357964006348,0.020507246847154516,0.04076998095719686,0.02030607703224387,0.9813420258648424,0,0.012967774092549884
krr,30,1e-08,0.1,0.5,0.0007339039150513892,0.011209166894559927,0.014689254221231933,0.031089349499072598,0.061448951996118654,0.030511022797394313,0.9729443134001275,0,0.012967774092549884
krr,40,1e-08,0.1,0.5,0.0009908981962621216,0.014811596682606584,0.019546373015837344,0.042558461588712654,0.08334143544718796,0.04115242610777251,0.9662377364272375,0,0.012967774092549884
krr,50,1e-08,0.1,0.5,0.0012521120975119936,0.018381472199953116,0.024466456642885975,0.05502640949220611,0.10653429804670975,0.052252732408686296,0.9575408452395101,0,0.012967774092549884
krr,60,1e-08,0.1,0.5,0.0015131382827958618,0.021898412977409465,0.029437126318231994,0.06868063257554047,0.13125218665973312,0.06389163697369106,0.9460917286974495,0,0.012967774092549884
krr,10,1e-08,0.1,0.75,0.0003552117986060043,0.005884454062077435,0.007709243206286712,0.015735871544952085,0.03138541351128113,0.015655961249944325,0.9922649679705573,0,0.019451661138824818
krr,20,1e-08,0.1,0.75,0.0007248747412354692,0.011374539639077865,0.014845900137128215,0.030963484204307182,0.06151124194475222,0.03060410055741642,0.9848288177203951,0,0.019451661138824818
krr,30,1e-08,0.1,0.75,0.001100855872577084,0.016813750341839885,0.022015483208241673,0.04706864084958392,0.09294471594048201,0.046072416414171306,0.9758945642715134,0,0.019451661138824818
