method,loadstep,lambda_smooth,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,J_min,J_nonpositive_count,mean_F_rmse
mesh-laplacian,20,1e-05,1.0,3.6153939359665214e-09,9.696607900053055e-07,1.0331951071806364e-06,2.1063768064232422e-06,4.278868719694161e-06,2.1849390769395767e-06,0.9494638333214935,0,1.4986015971482955e-06
mesh-laplacian,30,1e-05,1.0,5.0472608619835385e-09,1.335272079922446e-06,1.4514963354003704e-06,2.985316770365433e-06,6.092566593266076e-06,3.1459144539326557e-06,0.9438338568075749,0,1.4986015971482955e-06
mesh-laplacian,40,1e-05,1.0,6.4297170593448905e-09,1.690608670492546e-06,1.8552552690350452e-06,3.904612655000336e-06,7.943501794448204e-06,4.134042381373098e-06,0.9359057695718556,0,1.4986015971482955e-06
mesh-laplacian,50,1e-05,1.0,7.736142575786345e-09,2.0474274827505636e-06,2.3055301356056704e-06,4.934889540676075e-06,1.0037110876562689e-05,5.294464594508905e-06,0.9255594569174922,0,1.4986015971482955e-06
mesh-laplacian,60,1e-05,1.0,8.949294270574572e-09,2.3810756155751588e-06,2.7157762774421196e-06,6.152044378729344e-06,1.2266682310204294e-05,6.4563503496795524e-06,0.9078530984424573,0,1.4986015971482955e-06
mesh-laplacian,10,0.0001,0.25,5.197379896771385e-09,1.4162730189070228e-06,1.4561414673381039e-06,2.9415009075903952e-06,5.929196917335845e-06,2.992906764247442e-06,0.9660049191486095,0,3.7395262850897477e-06
mesh-laplacian,20,0.0001,0.25,9.026288201035399e-09,2.419656976029115e-06,2.5774613050765197e-06,5.254600435027142e-06,1.0674132042991543e-05,5.450601170829455e-06,0.9494674111370955,0,3.7395262850897477e-06
mesh-laplacian,30,0.0001,0.25,1.2601303949518525e-08,3.3320117149131625e-06,3.6209419151951835e-06,7.447125443322294e-06,1.519836990963059e-05,7.847765319866514e-06,0.9438357220165513,0,3.7395262850897477e-06
mesh-laplacian,40,0.0001,0.25,1.605282754180125e-08,4.21870725407303e-06,4.62813713798573e-06,9.74029226768747e-06,1.9815367807063393e-05,1.0312633543188165e-05,0.9359073392894114,0,3.7395262850897477e-06
mesh-laplacian,50,0.0001,0.25,1.9314268057603514e-08,5.109026378576745e-06,5.751310415846704e-06,1.2310222684002835e-05,2.503739433447957e-05,1.3207155967770633e-05,0.9255644956318619,0,3.7395262850897477e-06
mesh-laplacian,60,0.0001,0.25,2.2342655702433467e-08,5.941482368039408e-06,6.774628427647023e-06,1.5346427741884347e-05,3.0598492133201345e-05,1.6105275489625726e-05,0.9078597485195066,0,3.7395262850897477e-06
mesh-laplacian,10,0.0001,0.5,1.0394759793504436e-08,2.832546037806192e-06,2.912285016875831e-06,5.883012264870944e-06,1.1858416949184421e-05,5.985821544863296e-06,0.9660100404046533,0,7.479052570210449e-06
mesh-laplacian,20,0.0001,0.5,1.805257640205179e-08,4.839313952048172e-06,5.154929562902342e-06,1.0509233534152236e-05,2.134836255412997e-05,1.090124700539645e-05,0.9494733832248115,0,7.479052570210449e-06
mesh-laplacian,30,0.0001,0.5,2.5202607898892815e-08,6.6640234297555104e-06,7.241897570988044e-06,1.4894286095997099e-05,3.03969423954588e-05,1.569563899702821e-05,0.9438388384445026,0,7.479052570210449e-06
mesh-laplacian,40,0.0001,0.5,3.210565508362523e-08,8.43741450819898e-06,9.256299743333794e-06,1.9480572244966975e-05,3.963108018670143e-05,2.0625489295112168e-05,0.9359099649381463,0,7.479052570210449e-06
mesh-laplacian,50,0.0001,0.5,3.862853611523845e-08,1.0218052757230756e-05,1.1502660427931116e-05,2.4620363948983447e-05,5.007537307516116e-05,2.641471704768584e-05,0.9255729001275929,0,7.479052570210449e-06
mesh-laplacian,60,0.0001,0.5,4.4685311404925724e-08,1.1882964736223082e-05,1.3549316440286653e-05,3.069243646961564e-05,6.119761568500285e-05,3.2211151487968986e-05,0.9078708406769466,0,7.479052570210449e-06
mesh-laplacian,10,0.0001,0.75,1.5592139690243965e-08,4.2488190566861335e-06,4.3684306486280976e-06,8.82453407765995e-06,1.7787660099591738e-05,8.978744342125692e-06,0.9660151616619642,0,1.1218578855280684e-05
mesh-laplacian,20,0.0001,0.75,2.707886460311358e-08,7.2589709281154056e-06,7.732404773739769e-06,1.576389932030468e-05,3.2022691549417394e-05,1.6351937504595965e-05,0.9494793552514169,0,1.1218578855280684e-05
mesh-laplacian,30,0.0001,0.75,3.780391184824326e-08,9.996035144608512e-06,1.0862866968017024e-05,2.2341482012345695e-05,4.559571749390803e-05,2.3543621033079798e-05,0.9438419547311308,0,1.1218578855280684e-05
